Prospect_ID,Full_Name,Primary_Affiliation,Current_or_Former_Title,Category,Region,Profile_Fit,Strategic_Value,Potential_Role,Public_Profile_URL,Outreach_Channel,Priority,Tier,Status,Notes
SF-017,Carlos Curbelo,Beryl Consulting Group (former U.S. Congressman, FL-26),Former U.S. Representative,Former Official,Miami,"Bipartisan policy + education focus",Policy access + media fluency,Board Member,https://en.wikipedia.org/wiki/Carlos_Curbelo,Professional outreach/LinkedIn,Medium,B,Research,"Useful for bipartisan positioning"
SF-018,Debbie Mucarsel-Powell,Former U.S. Representative (FL-26),Former U.S. Representative,Former Official,Miami,"Community advocacy + policy background",Coalition and public engagement strength,Advisory Board,https://en.wikipedia.org/wiki/Debbie_Mucarsel-Powell,Professional outreach/LinkedIn,Medium,B,Research,"Check current campaign/role constraints"
SF-019,Gwen Graham,Former U.S. Representative (FL-2),Former U.S. Representative,Former Official,Florida,"Education and civic-policy focus",Statewide policy relationships,Advisory Board,https://en.wikipedia.org/wiki/Gwen_Graham,Professional outreach,Medium,B,Research,"Potential strong policy advisor"
SF-020,Katherine Harris,Former Florida Secretary of State,Former State Cabinet Official,Former Official,Florida,"Election administration history",Institutional memory on civic process,Advisor,https://en.wikipedia.org/wiki/Katherine_Harris,Professional outreach,Low,C,Research,"Polarizing profile; evaluate fit carefully"
SF-021,Ion Sancho,Former Leon County Supervisor of Elections,Former Election Official,Former Official,Tallahassee,"Election operations + integrity systems",Direct civic systems expertise,Advisor,https://en.wikipedia.org/wiki/Ion_Sancho,Professional outreach,Medium,B,Research,"Operational election perspective"
SF-022,Brenda Snipes,Former Broward County Supervisor of Elections,Former Election Official,Former Official,Broward,"Election administration experience",Local election operations perspective,Advisor,https://en.wikipedia.org/wiki/Brenda_Snipes,Professional outreach,Low,C,Research,"Assess reputational risk before outreach"
SF-023,Maria Sachs,Palm Beach County Commissioner (former),Former County Commissioner,Former Official,Palm Beach County,"Local governance + regional partnerships",Palm Beach civic and institutional network,Board Member,https://discover.pbcgov.org/countycommissioners/Pages/default.aspx,Warm intro via county partners,Medium,B,Research,"Verify current role and availability"
SF-024,Robert Weinroth,Palm Beach County Commission (former mayor/chair),Former County Commissioner,Former Official,Palm Beach County,"Regional governance and policy",Access to county-level partnerships,Advisory Board,https://discover.pbcgov.org/countycommissioners/Pages/default.aspx,Professional outreach,Medium,B,Research,"Good local government network"
SF-025,Shelley Vana,Palm Beach County School Board (former) / County Commission (former),Former Local Official,Former Official,Palm Beach County,"Education governance + local policy",Public education and civic trust channels,Advisor,https://en.wikipedia.org/wiki/Shelley_Vana,Professional outreach,Low,C,Research,"Check current commitments"
SF-026,Donna E. Shalala,University of Miami / former HHS Secretary and former U.S. Representative,Former Federal Official + Former UM President,Former Official + Higher Ed,Miami,"National civic and nonprofit governance stature",High-profile fundraising + governance strength,Board Chair Candidate,https://www.miami.edu/,Warm intro via UM/health policy network,High,A,Research,"Top-tier candidate if accessible"
SF-027,Julio Frenk,University of Miami,President,Other Institution,Miami,"Top-tier academic and policy leadership",Cross-sector influence + international profile,Advisory Board,https://welcome.miami.edu/leadership/president/index.html,Institutional outreach,High,A,Research,"Potentially high impact, limited bandwidth"
SF-028,Mitchell Kaplan,Books & Books / Miami Book Fair (co-founder),Cultural Institution Leader,Other Institution,Miami,"Public humanities + civic discourse",Audience reach and civic programming partnerships,Board Member,https://www.booksandbooks.com/,Warm intro via literary/civic circles,Medium,B,Research,"Great public-facing and community alignment"
SF-029,R. Motwani (Raj) Kumar,Former corporate/public board member (education-tech adjacent),Private Sector Leader,Other Institution,Florida,"Private sector governance + scale",Board process and fundraising support,Board Member,,Professional outreach/LinkedIn,Low,C,Research,"Name placeholder for targeted search refinement"
SF-030,Pamela M. Matz,Florida Atlantic University (former trustee/chair roles in region),Former Trustee/Regional Leader,FAU + Regional Civic Leader,Boca Raton,"Board governance + local philanthropy",South Palm Beach donor and leadership network,Board Member,,Warm intro via FAU advancement,Medium,B,Research,"Verify exact current titles"
SF-031,Patrick Geraghty,GuideWell/Florida Blue,Corporate Executive (Florida),Other Institution,Florida,"Large-scale operations + social impact",Corporate partnerships and sponsorship pathways,Board Member,https://www.floridablue.com/,Executive outreach,Medium,B,Research,"Useful private-sector balance"
SF-032,John Quelch,University of Miami Herbert Business School (former dean),Former Dean,Other Institution,Miami,"Strategy, leadership, institution-building",Business strategy and board governance value,Advisor,https://www.herbert.miami.edu/,Professional outreach,Medium,B,Research,"Good strategy profile"
SF-033,Irvin D. R. (placeholder for FIU Foundation candidate),FIU Foundation,Foundation/Development Leader,FIU,Miami,"Fundraising and donor systems",Development strategy + campaign support,Finance Committee,,Warm intro via FIU Foundation,Low,C,Research,"Replace with confirmed active FIU foundation leader"
SF-034,Local Former City Manager (Palm Beach/Broward shortlist),Municipal Government,Former City Manager,Former Official,South Florida,"Implementation-focused government operator",Execution and municipal partnership pathways,Advisor,,Targeted shortlist research,Low,C,Pipeline,"Create named shortlist after verification"
SF-035,Local Former School Superintendent (Palm Beach/Broward shortlist),K-12 Leadership,Former Superintendent,Former Official,South Florida,"Education systems operations",K-12 pipeline and district credibility,Advisor,,Targeted shortlist research,Low,C,Pipeline,"Create named shortlist after verification"
