org_name,email,contact_name,title,subject,email_body
Riviera Beach Public Library,library@rivierabch.com,TBD,Library Director,Custom AI Workshop for Riviera Beach Public Library (Riviera Beach),"Hello Library Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Riviera Beach Public Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Riviera Beach Public Library:
- AI literacy for community empowerment and workforce development.
- Community-focused library in diverse area.

If helpful, I can send a one-page agenda with outcomes tailored for your library director priorities in Riviera Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Belle Glade Branch Library,belleglade@pbclibrary.org,TBD,Branch Manager,Custom AI Workshop for Belle Glade Branch Library (Belle Glade),"Hello Branch Manager Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Belle Glade Branch Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Belle Glade Branch Library:
- AI for agricultural and rural economic development applications.
- Rural western Palm Beach County. Agricultural community with workforce development needs.

If helpful, I can send a one-page agenda with outcomes tailored for your branch manager priorities in Belle Glade.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Clarence E. Anthony Branch Library,southbay@pbclibrary.org,TBD,Branch Manager,Custom AI Workshop for Clarence E. Anthony Branch Library (South Bay),"Hello Branch Manager Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Clarence E. Anthony Branch Library stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Clarence E. Anthony Branch Library:
- Accessible AI training for rural library staff.
- Small rural library serving Glades communities.

If helpful, I can send a one-page agenda with outcomes tailored for your branch manager priorities in South Bay.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
School District of Palm Beach County,professionaldevelopment@palmbeachschools.org,TBD,Director of Professional Development,Custom AI Workshop for School District of Palm Beach County (West Palm Beach),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and School District of Palm Beach County stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for School District of Palm Beach County:
- System-wide AI literacy for educators - pilot with PD department.
- 10th largest district in US. 22,000+ employees. Massive scale opportunity.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Broward County Public Schools,professionaldevelopment@browardschools.com,TBD,Director of Professional Development & Equity,Custom AI Workshop for Broward County Public Schools (Fort Lauderdale),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Broward County Public Schools stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Broward County Public Schools:
- AI for educators - emphasize equity and accessibility applications.
- 6th largest district in US. 30,000+ employees. Major opportunity.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Fort Lauderdale.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Martin County School District,professionallearning@martinschools.org,TBD,Director of Professional Learning,Custom AI Workshop for Martin County School District (Stuart),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Martin County School District stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Martin County School District:
- Intensive AI workshop for leadership and instructional coaches.
- Smaller district (~18,000 students) with personalized approach.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Stuart.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
St. Lucie Public Schools,pd@stlucieschools.org,TBD,Director of Professional Development,Custom AI Workshop for St. Lucie Public Schools (Fort Pierce),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and St. Lucie Public Schools stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for St. Lucie Public Schools:
- AI integration for classroom instruction and administrative efficiency.
- Growing district on Treasure Coast. Innovation-focused.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Fort Pierce.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
School District of Indian River County,professionaldevelopment@indianriverschools.org,TBD,Director of Professional Development,Custom AI Workshop for School District of Indian River County (Vero Beach),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and School District of Indian River County stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for School District of Indian River County:
- AI for personalized learning and student engagement.
- Smaller district with strong community ties.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Vero Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Okeechobee County School District,professionaldevelopment@okee.k12.fl.us,TBD,Director of Professional Development,Custom AI Workshop for Okeechobee County School District (Okeechobee),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Okeechobee County School District stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Okeechobee County School District:
- AI for rural education and agricultural career pathways.
- Rural district with unique agricultural community needs.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Okeechobee.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Hendry County School District,professionaldevelopment@hendry-schools.org,TBD,Director of Professional Development,Custom AI Workshop for Hendry County School District (LaBelle),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Hendry County School District stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Hendry County School District:
- Bilingual AI workshop for diverse educator population.
- Small rural district. Bilingual community (Spanish/English).

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in LaBelle.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Glades County School District,professionaldevelopment@gladesschools.org,TBD,Director of Professional Development,Custom AI Workshop for Glades County School District (Moore Haven),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Glades County School District stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Glades County School District:
- Affordable AI training for small district leadership.
- Very small rural district. Tight-knit community.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Moore Haven.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Palm Beach State College,professionaldevelopment@palmbeachstate.edu,TBD,Director of Faculty/Staff Development,Custom AI Workshop for Palm Beach State College (Lake Worth),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Palm Beach State College stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Palm Beach State College:
- AI for higher education - teaching, research, and administrative applications.
- Large community college with 5 campuses. Faculty and staff development needs.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Lake Worth.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Florida Atlantic University - Jupiter Campus,facultydevelopment@fau.edu,TBD,Director of Faculty Development,Custom AI Workshop for Florida Atlantic University - Jupiter Campus (Jupiter),"Hello Director of Faculty Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Florida Atlantic University - Jupiter Campus stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Florida Atlantic University - Jupiter Campus:
- AI for research and academic productivity.
- FAU's Honors College and research programs. Faculty focused on innovation.

If helpful, I can send a one-page agenda with outcomes tailored for your director of faculty development priorities in Jupiter.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Keiser University - West Palm Beach,wpbinfo@keiseruniversity.edu,TBD,Director of Faculty Development,Custom AI Workshop for Keiser University - West Palm Beach (West Palm Beach),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Keiser University - West Palm Beach stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Keiser University - West Palm Beach:
- AI for career services and workforce-ready graduates.
- Career-focused private university. Practical AI applications.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Lynn University,innovation@lynn.edu,TBD,Director of Center for Learning Innovation,Custom AI Workshop for Lynn University (Boca Raton),"Hello Director of Faculty Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Lynn University stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Lynn University:
- AI for international education and personalized learning.
- Innovation-focused university with strong international student population.

If helpful, I can send a one-page agenda with outcomes tailored for your director of faculty development priorities in Boca Raton.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Palm Beach Atlantic University,ctl@pba.edu,TBD,Director of Center for Teaching and Learning,Custom AI Workshop for Palm Beach Atlantic University (West Palm Beach),"Hello Director of Faculty Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Palm Beach Atlantic University stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Palm Beach Atlantic University:
- AI for faith-based education and ethical AI considerations.
- Christian university in downtown WPB. Faculty development emphasis.

If helpful, I can send a one-page agenda with outcomes tailored for your director of faculty development priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Charter Schools USA - South Florida,professionaldevelopment@charterschoolsusa.com,TBD,Director of Professional Development,Custom AI Workshop for Charter Schools USA - South Florida (Fort Lauderdale),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Charter Schools USA - South Florida stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Charter Schools USA - South Florida:
- AI for charter school educators - flexible, innovative approach.
- Large charter network with multiple South Florida schools.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Fort Lauderdale.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Miami-Dade County Public Schools (North Region),professionaldevelopment@dadeschools.net,TBD,Director of Professional Development - North Region,Custom AI Workshop for Miami-Dade County Public Schools (North Region) (Miami),"Hello Director of Professional Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Miami-Dade County Public Schools (North Region) stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Miami-Dade County Public Schools (North Region):
- AI for diverse, multilingual student populations.
- 4th largest district in US. North region schools closer to Palm Beach.

If helpful, I can send a one-page agenda with outcomes tailored for your director of professional development priorities in Miami.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Chamber of Commerce of the Palm Beaches,info@palmbeaches.org,TBD,VP of Education & Workforce,Custom AI Workshop for Chamber of Commerce of the Palm Beaches (West Palm Beach),"Hello Director of Education/Workforce Development Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Chamber of Commerce of the Palm Beaches stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Chamber of Commerce of the Palm Beaches:
- AI upskilling for member businesses - partner on workforce development initiative.
- Major business organization. Workforce development is key priority.

If helpful, I can send a one-page agenda with outcomes tailored for your director of education/workforce development priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Boca Raton Chamber of Commerce,info@bocaratonchamber.com,TBD,President & CEO,Custom AI Workshop for Boca Raton Chamber of Commerce (Boca Raton),"Hello Executive Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Boca Raton Chamber of Commerce stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Boca Raton Chamber of Commerce:
- AI for business productivity - chamber member workshop series.
- Affluent business community with tech sector presence.

If helpful, I can send a one-page agenda with outcomes tailored for your executive director priorities in Boca Raton.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Delray Beach Chamber of Commerce,info@delraybeach.com,TBD,President & CEO,Custom AI Workshop for Delray Beach Chamber of Commerce (Delray Beach),"Hello Executive Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Delray Beach Chamber of Commerce stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Delray Beach Chamber of Commerce:
- AI for Main Street businesses - marketing, operations, customer service.
- Vibrant Main Street community. Small business focus.

If helpful, I can send a one-page agenda with outcomes tailored for your executive director priorities in Delray Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
CareerSource Palm Beach County,info@careersourcepbc.com,TBD,Director of Business Services & Training,Custom AI Workshop for CareerSource Palm Beach County (West Palm Beach),"Hello Director of Training Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and CareerSource Palm Beach County stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for CareerSource Palm Beach County:
- AI skills training as workforce development initiative - WIOA funding potential.
- Official workforce board. Direct access to employers and job seekers.

If helpful, I can send a one-page agenda with outcomes tailored for your director of training priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Broward County Workforce Development Board,info@careersourcebroward.com,TBD,Director of Training & Development,Custom AI Workshop for Broward County Workforce Development Board (Fort Lauderdale),"Hello Director of Training Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Broward County Workforce Development Board stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Broward County Workforce Development Board:
- Regional AI upskilling initiative - cross-county collaboration.
- Major workforce board serving Broward County.

If helpful, I can send a one-page agenda with outcomes tailored for your director of training priorities in Fort Lauderdale.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
United Way of Palm Beach County,info@unitedwaypbc.org,TBD,VP of Community Impact,Custom AI Workshop for United Way of Palm Beach County (West Palm Beach),"Hello Director of Programs Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and United Way of Palm Beach County stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for United Way of Palm Beach County:
- AI literacy as community impact initiative - partner on nonprofit capacity building.
- Major nonprofit funder. Education and workforce priorities.

If helpful, I can send a one-page agenda with outcomes tailored for your director of programs priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Community Foundation for Palm Beach and Martin Counties,info@cfpbmc.org,TBD,VP of Programs & Community Investment,Custom AI Workshop for Community Foundation for Palm Beach and Martin Counties (West Palm Beach),"Hello Director of Programs Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Community Foundation for Palm Beach and Martin Counties stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Community Foundation for Palm Beach and Martin Counties:
- AI capacity building for grantee organizations - funder education angle.
- Major community foundation. Funds education and workforce initiatives.

If helpful, I can send a one-page agenda with outcomes tailored for your director of programs priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
Palm Beach County Municipal Association,info@pbcma.org,TBD,Executive Director,Custom AI Workshop for Palm Beach County Municipal Association (West Palm Beach),"Hello Executive Director Team,

I’m Nick Cerbone with CivicOS Institute. We’re offering a paid, custom AI workshop for organizations within driving distance of West Palm Beach, and Palm Beach County Municipal Association stood out as a strong fit.

Workshop format: 2-hour custom staff training + practical implementation toolkit
Fee: $1,200 (custom-tailored to your organization)

Why this is relevant for Palm Beach County Municipal Association:
- AI for municipal staff efficiency - offer to municipal clerks, managers, etc.
- Association of municipal governments. Training coordination opportunity.

If helpful, I can send a one-page agenda with outcomes tailored for your executive director priorities in West Palm Beach.

Would you be open to a 15-minute call next week to scope the workshop?

Best,
Nick Cerbone
CivicOS Institute"
